Wall time,Step,Value
1493414080.515235,155,0.1858106255531311
1493414081.546294,156,0.1833818405866623
1493414082.5903535,157,0.1809946894645691
1493414083.6214125,158,0.17864838242530823
1493414084.6654723,159,0.1763421595096588
1493414085.7105322,160,0.17407526075839996
1493414086.741591,161,0.17184697091579437
1493414087.7856507,162,0.16965655982494354
1493414088.8307104,163,0.16750332713127136
1493414089.8757703,164,0.16538658738136292
1493414090.9218302,165,0.16330567002296448
1493414091.96789,166,0.16125990450382233
1493414093.0119498,167,0.15924866497516632
1493414094.0570095,168,0.15727132558822632
1493414095.1020691,169,0.15532726049423218
1493414096.147129,170,0.15341585874557495
1493414097.1921887,171,0.15153653919696808
1493414098.2372487,172,0.149688720703125
1493414099.2683074,173,0.14787183701992035
1493414100.3123672,174,0.14608532190322876
1493414101.3424263,175,0.14432862401008606
1493414102.387486,176,0.14260120689868927
1493414103.416545,177,0.1409025490283966
1493414104.4776056,178,0.13923212885856628
1493414105.5076644,179,0.13758942484855652
1493414106.5527241,180,0.13597393035888672
1493414107.581783,181,0.13438516855239868
1493414108.627843,182,0.132822647690773
1493414109.6729026,183,0.1312858760356903
1493414110.7179625,184,0.12977440655231476
1493414111.7480214,185,0.12828776240348816
1493414112.7770803,186,0.1268254816532135
1493414113.82214,187,0.12538713216781616
1493414114.8671997,188,0.12397226691246033
1493414115.9132595,189,0.12258044630289078
1493414116.9753203,190,0.12121125310659409
1493414118.01738,191,0.11986426264047623
1493414119.0634396,192,0.11853906512260437
1493414120.0944986,193,0.11723524332046509
1493414121.1385584,194,0.11595240980386734
1493414122.1836183,195,0.11469016224145889
1493414123.2136772,196,0.1134481206536293
1493414124.2587368,197,0.11222590506076813
1493414125.3037968,198,0.11102313548326492
1493414126.3338556,199,0.10983944684267044
1493414127.3789153,200,0.10867448151111603
1493414128.423975,201,0.10752788186073303
1493414129.453034,202,0.1063992902636528
1493414130.4830928,203,0.10528837144374847
1493414131.5291526,204,0.10419479012489319
1493414132.5742126,205,0.10311821103096008
1493414133.6182723,206,0.10205831378698349
1493414134.649331,207,0.10101477801799774
1493414135.6933908,208,0.09998728334903717
1493414136.7234497,209,0.0989755317568779
1493414137.7705097,210,0.09797921776771545
1493414138.8135693,211,0.09699804335832596
1493414139.8586292,212,0.09603172540664673
1493414140.9186897,213,0.09507997334003448
1493414141.9647496,214,0.09414251148700714
1493414143.0098095,215,0.09321905672550201
1493414144.055869,216,0.09230934828519821
1493414145.084928,217,0.09141312539577484
1493414146.129988,218,0.09053012728691101
1493414147.1590466,219,0.08966010063886642
1493414148.2051065,220,0.08880279958248138
1493414149.2501664,221,0.08795797824859619
1493414150.295226,222,0.08712540566921234
1493414151.325285,223,0.08630484342575073
1493414152.3703449,224,0.08549606800079346
1493414153.4154046,225,0.08469884842634201
1493414154.4444635,226,0.08391297608613968
1493414155.4895232,227,0.08313823491334915
1493414156.535583,228,0.08237441629171371
1493414157.5796428,229,0.08162131160497665
1493414158.6087017,230,0.08087872713804245
1493414159.6567614,231,0.08014646172523499
1493414160.7018213,232,0.07942432910203934
1493414161.7938838,233,0.07871213555335999
1493414162.8379436,234,0.0780097022652626
1493414163.8830032,235,0.07731684297323227
1493414164.913062,236,0.07663338631391525
1493414165.9571218,237,0.07595916837453842
1493414166.9871807,238,0.07529401034116745
1493414168.0332408,239,0.0746377483010292
1493414169.0773003,240,0.07399022579193115
1493414170.1233602,241,0.07335128635168076
1493414171.16842,242,0.07272077351808548
